,Title,Published_date,Views,Likes,Favourites,Comments,Month
92,Functions in Python | Python for Beginners,2022-12-06,29304,845,0,27,Dec
93,While Loops in Python | Python for Beginners,2022-11-29,26503,848,0,18,Nov
94,For Loops in Python | Python for Beginners,2022-11-22,29598,783,0,20,Nov
95,Data Analyst Q/A Livestream | November Livestream,2022-11-16,6238,202,0,18,Nov
96,If Else Statements in Python | Python for Beginners,2022-11-15,25788,797,0,24,Nov
97,"Comparison, Logical, and Membership Operators in Python | Python for Beginners",2022-11-08,27575,817,0,18,Nov
98,Data Types in Python | Python for Beginners,2022-11-01,54770,1436,0,53,Nov
99,Data Analyst Q/A Livestream | October Livestream,2022-10-31,5673,184,0,11,Oct
100,Variables in Python | Python for Beginners,2022-10-25,57845,1464,0,48,Oct
101,300k Livestream! | Giveaways for People in Chat | Bring Your Wine,2022-10-19,5231,245,0,23,Oct
102,Installing Jupyter Notebooks/Anaconda | Python for Beginners,2022-10-18,181575,3212,0,101,Oct
103,Interviewing Tina Huang | Fellow YouTuber and Data Enthusiast,2022-10-13,9206,326,0,21,Oct
104,Interviewing Luke Barousse | Arch-Nemesis and Fellow YouTuber,2022-10-11,7132,321,0,31,Oct
105,When Best Friends Work Together (ft. Luke Barousse),2022-10-04,15076,668,0,84,Oct
106,Data Analyst Live Stream | Riding out Hurricane Ian,2022-10-01,6662,213,0,14,Oct
107,Full Power BI Guided Project | Microsoft Power BI for Beginners,2022-09-27,260462,5210,0,307,Sep
108,Popular Visualizations in Power BI | Microsoft Power BI for Beginners,2022-09-20,52905,1458,0,46,Sep
109,"Guided Portfolio Projects on Coursera | Python, SQL, Excel, Power BI, and Tableau",2022-09-13,51528,2012,0,99,Sep
110,How to use Bins and Lists in Power BI | Microsoft Power BI for Beginners,2022-09-06,49722,1288,0,38,Sep
111,How to use Conditional Formatting in Power BI | Microsoft Power BI for Beginners,2022-08-30,76381,1427,0,40,Aug
112,Top 8 Mistakes Beginner Data Analyst's Make | CareerFoundry Webinar,2022-08-24,75944,2065,0,76,Aug
113,Interviewing Ken Jee | The Face of Data Science on YouTube,2022-08-23,6952,246,0,15,Aug
114,CareerFoundry Data Analytics Bootcamp Review | Bootcamp + Intro + Free Course Review,2022-08-16,23312,602,0,114,Aug
115,How to use Drill Down in Power BI | Microsoft Power BI for Beginners,2022-08-09,95146,1841,0,60,Aug
116,"Best Courses for Alternative Analyst Jobs | Marketing Analyst, Business Analyst, Financial Analyst",2022-08-02,18086,803,0,72,Aug
117,250k Subscriber Live Stream!!,2022-07-26,4157,157,0,11,Jul
118,How to use DAX in Power BI | Microsoft Power BI for Beginners,2022-07-26,96917,2243,0,106,Jul
119,Tech Layoffs and Hiring Freezes | The Great Resignation | Alex The Analyst Show | Episode 23,2022-07-19,21872,623,0,126,Jul
120,How to Create and Manage Relationships in Power BI | Microsoft Power BI for Beginners,2022-07-12,114551,2297,0,70,Jul
121,Machine Learning Specialization on Coursera | Review,2022-07-05,21681,717,0,60,Jul
122,Meta Marketing Analytics Professional Certificate on Coursera | Review,2022-06-28,30260,816,0,95,Jun
123,Google's Secret Hiring Platform | Found in the Google Data Analytics Certification,2022-06-21,45152,1646,0,133,Jun
124,How to use Power Query in Power BI | Microsoft Power BI for Beginners,2022-06-14,163269,2990,0,67,Jun
125,Automating Crypto Website API Pull Using Python | Data Analyst Project,2022-06-07,45293,829,0,75,Jun
126,How to use a Public API | Using a Public API with Python,2022-05-31,26078,967,0,60,May
127,How to Install Power BI | Building First Visualization | Microsoft Power BI for Beginners,2022-05-24,232980,4545,0,202,May
128,MySQL vs Postgresql vs Microsoft SQL Server Management Tools | Which Option is Best?,2022-05-17,110481,2396,0,261,May
129,Top 3 Tips to Stop Procrastinating to be Successful,2022-05-10,32979,1673,0,157,May
130,SQL vs NoSQL | What's the Difference?,2022-05-03,54184,1690,0,66,May
131,Database vs Data Warehouse vs Data Lake | What is the Difference?,2022-04-26,561564,15374,0,252,Apr
132,How I Manage My Time Working 60+ Hours Per Week | Alex The Analyst Show | Episode 22,2022-04-20,11664,323,0,161,Apr
133,200k Livestream! | Shaving | Puppies | Giveaway,2022-04-14,3167,134,0,11,Apr
134,Things I HATE About Being a Data Analyst,2022-04-12,34136,1442,0,195,Apr
135,Best Website to Practice Technical Interview Questions,2022-04-05,17674,645,0,55,Apr
136,Pros and Cons of Working Remote | Alex The Analyst Show | Episode 21,2022-03-29,6989,271,0,162,Mar
137,Full Project in Excel | Excel Tutorials for Beginners,2022-03-22,546117,12467,0,790,Mar
138,Top 5 Non-Technical Skills for Data Analysts,2022-03-15,21057,793,0,74,Mar
139,Cleaning Data in Excel | Excel Tutorials for Beginners,2022-03-01,368209,8186,0,262,Mar
140,Tableau Data Analyst Certification Review,2022-02-22,56754,1470,0,125,Feb
141,Job Title Alternatives for Data Analysts,2022-02-15,25922,1015,0,95,Feb
142,Best Coursera Courses for Data Analysts in 2022,2022-02-08,106929,5439,0,219,Feb
143,Understanding Your Data Analyst Salary Offer | What To Know Before Accepting,2022-02-01,20554,719,0,61,Feb
